timestamp,theta_est,omega_est
12051354,4.765000343322754,62.88507843017578
12052153,4.825779438018799,86.65274047851562
12052953,4.885509967803955,71.46089172363281
12053753,4.9489359855651855,84.61005401611328
12054552,5.00888729095459,83.79821014404297
12055352,5.060798168182373,79.15530395507812
12056152,5.111828804016113,86.69855499267578
12056952,5.157468795776367,76.32308959960938
12057752,4.8047380447387695,73.52041625976562
12058552,4.881410598754883,63.71912384033203
12059352,4.9715495109558105,74.55269622802734
12060152,5.044221878051758,78.62284088134766
12060953,5.103381633758545,76.56594848632812
12061753,5.154568672180176,73.24339294433594
12062553,5.199114799499512,65.00675964355469
12063353,5.237767219543457,47.12860870361328
12064153,5.273894786834717,-27.248456954956055
12064953,5.3073930740356445,-177.07327270507812
12065753,5.3359479904174805,-173.00296020507812
12066553,5.359921455383301,159.0734405517578
12067353,5.383098602294922,248.0468292236328
12068154,5.402425765991211,-47.76203155517578
12068953,5.41907262802124,47.21915817260742
12069753,5.435914516448975,151.46002197265625
12070553,5.451638221740723,-49.509986877441406
12071353,5.467447757720947,87.10043334960938
12072153,5.482826232910156,58.52811050415039
12072953,5.497385025024414,-24.679365158081055
12073753,5.510985374450684,97.94453430175781
12074553,5.524520397186279,-24.028377532958984
12075353,5.539101600646973,44.8861198425293
12076153,5.595873832702637,31.52025032043457
12076952,5.658637046813965,-13.676764488220215
12077753,5.72498893737793,62.793277740478516
12078552,5.79443883895874,-20.102699279785156
12079352,5.851250648498535,45.785789489746094
12080152,5.908473014831543,8.45272445678711
12080953,5.960833549499512,10.877378463745117
12081753,6.009995460510254,36.151458740234375
12082553,6.050455570220947,4.54289436340332
12083353,6.1012139320373535,80.90397644042969
12084153,6.1659650802612305,74.47622680664062
12084954,6.231699466705322,102.82406616210938
12085754,0.0038728713989257812,67.93840789794922
12086554,0.06765198707580566,74.41146087646484
12087353,0.13870954513549805,86.26512145996094
12088153,0.20839810371398926,42.45426559448242
12088953,0.2726140022277832,74.18855285644531
12089754,0.3343465328216553,48.37562561035156
12090553,0.40056920051574707,55.899513244628906
12091353,0.46930742263793945,-22.18100357055664
12092152,0.5434126853942871,-801.5162353515625
12092952,0.6244502067565918,-3065.11962890625
12093752,0.7039365768432617,-4514.85546875
12094552,0.5353186130523682,-720.3292846679688
12095352,0.6324198246002197,2873.62841796875
12096152,0.7081601619720459,-710.4093627929688
12096953,0.7738380432128906,-1228.6337890625
12097753,0.829857587814331,1861.969970703125
12098553,0.8840184211730957,-873.1778564453125
12099353,0.9365725517272949,-105.98126220703125
12100153,0.9856171607971191,1078.4398193359375
12100954,1.0287768840789795,-1142.56787109375
12101754,1.0670368671417236,776.4234008789062
12102554,1.1007826328277588,-294.93505859375
12103353,1.1313109397888184,-105.48011779785156
12104153,1.1605780124664307,781.7026977539062
12104953,1.1900051832199097,-771.9273681640625
12105753,1.2196903228759766,727.0405883789062
12106552,1.3003809452056885,-264.37109375
12107352,1.4047715663909912,50.84021759033203
12108152,1.5036386251449585,319.30902099609375
12108953,1.5737158060073853,-358.1018981933594
12109753,1.6338902711868286,463.0919189453125
12110553,1.6901451349258423,-310.62664794921875
12111353,1.742781162261963,256.80828857421875
12112154,1.819873571395874,-38.05446243286133
12112953,1.9079798460006714,-1.1873626708984375
12113753,2.00022554397583,235.6770782470703
12114553,2.101548671722412,-50.066978454589844
12115353,2.200411319732666,329.44451904296875
12116153,2.295095205307007,-87.64492797851562
12116953,2.389514923095703,170.77810668945312
12117753,2.485637664794922,32.611000061035156
12118552,2.592226028442383,62.424896240234375
12119352,2.342268943786621,139.8941192626953
12120152,2.4780960083007812,41.87107467651367
12120953,2.605714797973633,202.88282775878906
12121753,2.713477849960327,49.95884323120117
12122554,2.802474021911621,180.95407104492188
12123353,2.8787879943847656,86.58234405517578
12124153,2.94856333732605,125.10348510742188
12124953,3.0128822326660156,126.91868591308594
12125753,3.068531036376953,62.617881774902344
12126553,3.1128008365631104,-6.615653991699219
12127353,3.146268844604492,-130.36996459960938
12128152,3.1773831844329834,138.84811401367188
12128952,3.2125155925750732,274.4942626953125
12129752,3.3250479698181152,70.96244812011719
12130552,3.4497735500335693,11.715755462646484
12131352,3.5628840923309326,185.96774291992188
12132152,3.6569511890411377,27.283029556274414
12132954,3.732556104660034,47.18817138671875
12133753,3.8023509979248047,121.70449829101562
12134553,3.8862881660461426,-38.1922721862793
12135353,3.97672700881958,98.94021606445312
12136153,4.089014053344727,44.17841339111328
12136953,4.20921516418457,105.705810546875
